Number	Family	Genus	Species	Latitude	Longitude	Alt	date
B29-20131018-031	Nolidae	Characoma	Characoma glaucopasta	23.96584	121.493076	168	20131018
A46-20150128-137	Nolidae	Characoma	Characoma glaucopasta	23.266046	120.825008	1004	20150128
A46-20160223-076	Nolidae	Characoma	Characoma glaucopasta	23.266046	120.825008	1004	20160223
A32-20110927-045	Geometridae	Fascellina	Fascellina chromataria	24.273494	120.948004	1000	20110927
A32-20120523-087	Geometridae	Fascellina	Fascellina chromataria	24.273494	120.948004	1000	20120523
A32-20120725-022	Geometridae	Fascellina	Fascellina chromataria	24.273494	120.948004	1000	20120725
A32-20120830-068	Geometridae	Fascellina	Fascellina chromataria	24.273494	120.948004	1000	20120830
A34-20130313-006	Geometridae	Fascellina	Fascellina chromataria	24.81502	121.41285	670	20130313
V02-20130407-044	Geometridae	Fascellina	Fascellina chromataria	24.051142	120.780668	312	20130407
V02-20130407-045	Geometridae	Fascellina	Fascellina chromataria	24.051142	120.780668	312	20130407
V10-20130413-024	Geometridae	Fascellina	Fascellina chromataria	23.665211	120.633595	296	20130413
V10-20130413-025	Geometridae	Fascellina	Fascellina chromataria	23.665211	120.633595	296	20130413
V10-20130413-036	Geometridae	Fascellina	Fascellina chromataria	23.665211	120.633595	296	20130413
V11-20130414-055	Geometridae	Fascellina	Fascellina chromataria	23.058381	120.733335	1427	20130414
A34-20130506-021	Geometridae	Fascellina	Fascellina chromataria	24.81502	121.41285	670	20130506
V11-20130508-032	Geometridae	Fascellina	Fascellina chromataria	23.058381	120.733335	1427	20130508
V09-20130601-018	Geometridae	Fascellina	Fascellina chromataria	24.145417	120.557194	83	20130601
A35-20130605-067	Geometridae	Fascellina	Fascellina chromataria	24.41809	121.78984	245	20130605
V03-20130606-103	Geometridae	Fascellina	Fascellina chromataria	23.619961	120.802242	1721	20130606
V07-20130607-007	Geometridae	Fascellina	Fascellina chromataria	24.22315	120.762824	390	20130607
